"subject"	"block"	"task"	"trial"	"cue"	"key_pressed"	"is_common"	"outcome"	"is_correct"	"is_correct_nback"
59	2	"WMGNG"	233	"no-go to avoid losing"	0	1	0	1	1
59	2	"WMGNG"	234	"no-go to avoid losing"	0	1	0	1	1
59	2	"WMGNG"	235	"no-go to avoid losing"	1	0	0	0	1
59	2	"WMGNG"	236	"go to avoid losing"	0	1	-1	0	1
59	2	"WMGNG"	237	"no-go to avoid losing"	0	0	-1	1	1
59	2	"WMGNG"	238	"no-go to win"	1	0	1	0	1
59	2	"WMGNG"	239	"no-go to avoid losing"	0	1	0	1	0
59	2	"WMGNG"	240	"no-go to win"	1	1	0	0	1
60	1	"WMGNG"	1	"go to avoid losing"	1	1	-1	1	0
60	1	"WMGNG"	2	"go to avoid losing"	0	1	-1	0	1
60	1	"WMGNG"	3	"no-go to avoid losing"	1	1	-1	0	1
60	1	"WMGNG"	4	"go to avoid losing"	1	1	0	1	0
60	1	"WMGNG"	5	"go to win"	1	1	1	1	1
60	1	"WMGNG"	6	"go to win"	1	1	1	1	1
60	1	"WMGNG"	7	"go to win"	1	1	1	1	1
60	1	"WMGNG"	8	"no-go to avoid losing"	0	0	-1	1	1
60	1	"WMGNG"	9	"go to avoid losing"	0	1	-1	0	1
60	1	"WMGNG"	10	"no-go to win"	1	1	0	0	1
60	1	"WMGNG"	11	"go to win"	1	0	0	1	1
60	1	"WMGNG"	12	"no-go to avoid losing"	1	1	-1	0	1
60	1	"WMGNG"	13	"go to avoid losing"	1	1	0	1	1
60	1	"WMGNG"	14	"go to avoid losing"	1	1	0	1	1
60	1	"WMGNG"	15	"no-go to win"	1	1	0	0	1
